,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
0,0,the lord of the rings: the return of the king,8,6,18,137
1,1,inception,8,6,0,27
2,2,the lord of the rings: the two towers,8,6,18,137
3,3,the lord of the rings: the fellowship of the ring,8,6,18,137
4,4,the empire strikes back,8,6,2,6
5,5,star wars,8,6,2,6
6,6,seppuku,8,16,19,84
7,7,kaithi,8,19,16,26
8,8,gladiator,8,6,18,137
9,9,léon,8,19,18,2
10,10,spider-man: into the spider-verse,5,4,7,0
11,11,avengers: endgame,8,6,18,137
12,12,avengers: infinity war,8,6,0,27
13,13,k.g.f: chapter 2,8,19,18,2
14,14,shershaah,8,14,18,28
15,15,oldeuboi,8,16,19,84
16,16,aliens,8,6,0,27
17,17,dangal,8,14,18,28
18,18,spider-man: no way home,8,6,2,6
19,19,heat,8,19,18,2
20,20,star wars: episode vi - return of the jedi,8,6,2,6
21,21,north by northwest,8,6,19,106
22,22,1917,8,16,9,71
23,23,uri: the surgical strike,8,16,8,5
24,24,k.g.f: chapter 1,8,19,18,2
25,25,everything everywhere all at once,8,6,6,17
26,26,vikram vedha,8,19,18,2
27,27,dag ii,8,16,9,71
28,28,gangs of wasseypur,8,5,22,41
29,29,paan singh tomar,8,14,22,32
30,30,warrior,8,16,1,16
31,31,kimetsu no yaiba: mugen ressha-hen,5,4,7,0
32,32,v for vendetta,8,16,0,62
33,33,batman begins,8,19,18,2
34,34,kill bill: vol. 1,8,19,18,2
35,35,"lock, stock and two smoking barrels",8,5,22,41
36,36,jurassic park,8,6,0,27
37,37,ran,8,16,9,71
38,38,"nu, pogodi!",5,4,6,67
39,39,rurouni kenshin: meiji kenkaku romantan: tsuioku hen,5,4,7,0
40,40,from the earth to the moon,8,16,8,5
41,41,dragon ball: doragon bôru,5,4,7,0
42,42,harley quinn,5,4,7,0
43,43,cobra kai,8,5,18,61
44,44,mirzapur,8,19,18,2
45,45,sacred games,8,19,18,2
46,46,the punisher,8,19,18,2
47,47,hilleo,8,5,22,41
48,48,the last kingdom,8,16,8,5
49,49,vikings,8,6,18,137
50,50,person of interest,8,19,18,2
51,51,spartacus: gods of the arena,8,6,15,35
52,52,regular show,5,4,7,0
53,53,spartacus: blood and sand,8,6,15,35
